frame_idx,pcd_file,robot_x,robot_y,robot_yaw_rad,participant_idx,participant_x,participant_y,participant_z
15,1730821381.467736244.pcd,2.524900465808137,-2.683804003047775,1.2812912614267815,0,3.05,0.48,-1.29
15,1730821381.467736244.pcd,2.524900465808137,-2.683804003047775,1.2812912614267815,1,2.07,-2.21,-1.27
15,1730821381.467736244.pcd,2.524900465808137,-2.683804003047775,1.2812912614267815,2,10.32,-1.53,-1.3
15,1730821381.467736244.pcd,2.524900465808137,-2.683804003047775,1.2812912614267815,3,10.22,1.34,-1.32
15,1730821381.467736244.pcd,2.524900465808137,-2.683804003047775,1.2812912614267815,4,7.12,-5.76,-1.41
16,1730821381.567695379.pcd,2.5251644377764424,-2.684483276338998,1.281331805583123,0,3.05,0.48,-1.29
16,1730821381.567695379.pcd,2.5251644377764424,-2.684483276338998,1.281331805583123,1,2.07,-2.21,-1.27
16,1730821381.567695379.pcd,2.5251644377764424,-2.684483276338998,1.281331805583123,2,10.32,-1.53,-1.3
16,1730821381.567695379.pcd,2.5251644377764424,-2.684483276338998,1.281331805583123,3,10.22,1.34,-1.32
16,1730821381.567695379.pcd,2.5251644377764424,-2.684483276338998,1.281331805583123,4,7.12,-5.76,-1.41
17,1730821381.667668343.pcd,2.525224916945372,-2.6840524976112845,1.281290022418954,0,3.05,0.47,-1.29
17,1730821381.667668343.pcd,2.525224916945372,-2.6840524976112845,1.281290022418954,1,2.07,-2.21,-1.27
17,1730821381.667668343.pcd,2.525224916945372,-2.6840524976112845,1.281290022418954,2,10.31,-1.52,-1.3
17,1730821381.667668343.pcd,2.525224916945372,-2.6840524976112845,1.281290022418954,3,10.22,1.34,-1.32
17,1730821381.667668343.pcd,2.525224916945372,-2.6840524976112845,1.281290022418954,4,7.12,-5.76,-1.41
18,1730821381.767738342.pcd,2.525524843005032,-2.6845580989881177,1.281044639432895,0,3.05,0.47,-1.29
18,1730821381.767738342.pcd,2.525524843005032,-2.6845580989881177,1.281044639432895,1,2.07,-2.21,-1.27
18,1730821381.767738342.pcd,2.525524843005032,-2.6845580989881177,1.281044639432895,2,10.31,-1.52,-1.3
18,1730821381.767738342.pcd,2.525524843005032,-2.6845580989881177,1.281044639432895,3,10.22,1.33,-1.32
18,1730821381.767738342.pcd,2.525524843005032,-2.6845580989881177,1.281044639432895,4,7.12,-5.76,-1.41
19,1730821381.867717266.pcd,2.5253595183211632,-2.6829050989846253,1.2810056997926609,0,3.05,0.47,-1.29
19,1730821381.867717266.pcd,2.5253595183211632,-2.6829050989846253,1.2810056997926609,1,2.07,-2.21,-1.27
19,1730821381.867717266.pcd,2.5253595183211632,-2.6829050989846253,1.2810056997926609,2,10.31,-1.52,-1.3
19,1730821381.867717266.pcd,2.5253595183211632,-2.6829050989846253,1.2810056997926609,3,10.22,1.33,-1.32
19,1730821381.867717266.pcd,2.5253595183211632,-2.6829050989846253,1.2810056997926609,4,7.12,-5.76,-1.41
20,1730821381.967755318.pcd,2.525151624399736,-2.684570832125717,1.2811976498745257,0,3.05,0.47,-1.29
20,1730821381.967755318.pcd,2.525151624399736,-2.684570832125717,1.2811976498745257,1,2.07,-2.21,-1.27
20,1730821381.967755318.pcd,2.525151624399736,-2.684570832125717,1.2811976498745257,2,10.31,-1.52,-1.3
20,1730821381.967755318.pcd,2.525151624399736,-2.684570832125717,1.2811976498745257,3,10.22,1.33,-1.32
20,1730821381.967755318.pcd,2.525151624399736,-2.684570832125717,1.2811976498745257,4,7.12,-5.76,-1.41
21,1730821382.067759275.pcd,2.525313818299751,-2.68317930779672,1.2810436599764918,0,3.06,0.46,-1.29
21,1730821382.067759275.pcd,2.525313818299751,-2.68317930779672,1.2810436599764918,1,2.1,-2.21,-1.27
21,1730821382.067759275.pcd,2.525313818299751,-2.68317930779672,1.2810436599764918,2,10.3,-1.52,-1.3
21,1730821382.067759275.pcd,2.525313818299751,-2.68317930779672,1.2810436599764918,3,10.22,1.31,-1.32
21,1730821382.067759275.pcd,2.525313818299751,-2.68317930779672,1.2810436599764918,4,7.12,-5.74,-1.41
22,1730821382.167621374.pcd,2.525012265774137,-2.683227889105808,1.281175515205592,0,3.06,0.45,-1.29
22,1730821382.167621374.pcd,2.525012265774137,-2.683227889105808,1.281175515205592,1,2.12,-2.2,-1.27
22,1730821382.167621374.pcd,2.525012265774137,-2.683227889105808,1.281175515205592,2,10.29,-1.52,-1.3
22,1730821382.167621374.pcd,2.525012265774137,-2.683227889105808,1.281175515205592,3,10.23,1.28,-1.32
22,1730821382.167621374.pcd,2.525012265774137,-2.683227889105808,1.281175515205592,4,7.12,-5.73,-1.41
23,1730821382.267712355.pcd,2.5249865438573966,-2.68368598848014,1.2811735690900707,0,3.06,0.45,-1.29
23,1730821382.267712355.pcd,2.5249865438573966,-2.68368598848014,1.2811735690900707,1,2.15,-2.2,-1.27
23,1730821382.267712355.pcd,2.5249865438573966,-2.68368598848014,1.2811735690900707,2,10.28,-1.52,-1.3
23,1730821382.267712355.pcd,2.5249865438573966,-2.68368598848014,1.2811735690900707,3,10.23,1.26,-1.32
23,1730821382.267712355.pcd,2.5249865438573966,-2.68368598848014,1.2811735690900707,4,7.12,-5.72,-1.41
24,1730821382.367704391.pcd,2.522667036428972,-2.682228329759909,1.2886346474651826,0,3.06,0.44,-1.29
24,1730821382.367704391.pcd,2.522667036428972,-2.682228329759909,1.2886346474651826,1,2.17,-2.2,-1.27
24,1730821382.367704391.pcd,2.522667036428972,-2.682228329759909,1.2886346474651826,2,10.27,-1.52,-1.3
24,1730821382.367704391.pcd,2.522667036428972,-2.682228329759909,1.2886346474651826,3,10.24,1.23,-1.32
24,1730821382.367704391.pcd,2.522667036428972,-2.682228329759909,1.2886346474651826,4,7.12,-5.7,-1.41
25,1730821382.467761278.pcd,2.527920644052667,-2.674222953615272,1.335233475511013,0,3.07,0.43,-1.29
25,1730821382.467761278.pcd,2.527920644052667,-2.674222953615272,1.335233475511013,1,2.2,-2.2,-1.27
25,1730821382.467761278.pcd,2.527920644052667,-2.674222953615272,1.335233475511013,2,10.26,-1.52,-1.3
25,1730821382.467761278.pcd,2.527920644052667,-2.674222953615272,1.335233475511013,3,10.24,1.21,-1.32
25,1730821382.467761278.pcd,2.527920644052667,-2.674222953615272,1.335233475511013,4,7.12,-5.69,-1.41
26,1730821382.567799330.pcd,2.5375600802283893,-2.657028169402997,1.3850974158181042,0,3.07,0.42,-1.29
26,1730821382.567799330.pcd,2.5375600802283893,-2.657028169402997,1.3850974158181042,1,2.22,-2.19,-1.27
26,1730821382.567799330.pcd,2.5375600802283893,-2.657028169402997,1.3850974158181042,2,10.24,-1.52,-1.3
26,1730821382.567799330.pcd,2.5375600802283893,-2.657028169402997,1.3850974158181042,3,10.25,1.18,-1.32
26,1730821382.567799330.pcd,2.5375600802283893,-2.657028169402997,1.3850974158181042,4,7.12,-5.67,-1.41
27,1730821382.667652369.pcd,2.540094509236783,-2.642919378450125,1.3984335113587534,0,3.07,0.41,-1.29
27,1730821382.667652369.pcd,2.540094509236783,-2.642919378450125,1.3984335113587534,1,2.25,-2.19,-1.27
27,1730821382.667652369.pcd,2.540094509236783,-2.642919378450125,1.3984335113587534,2,10.23,-1.52,-1.3
27,1730821382.667652369.pcd,2.540094509236783,-2.642919378450125,1.3984335113587534,3,10.25,1.16,-1.32
27,1730821382.667652369.pcd,2.540094509236783,-2.642919378450125,1.3984335113587534,4,7.12,-5.66,-1.41
28,1730821382.767768383.pcd,2.5427634345613925,-2.6234968087475146,1.4059158014878812,0,3.07,0.4,-1.29
28,1730821382.767768383.pcd,2.5427634345613925,-2.6234968087475146,1.4059158014878812,1,2.27,-2.19,-1.27
28,1730821382.767768383.pcd,2.5427634345613925,-2.6234968087475146,1.4059158014878812,2,10.22,-1.52,-1.3
28,1730821382.767768383.pcd,2.5427634345613925,-2.6234968087475146,1.4059158014878812,3,10.26,1.13,-1.32
28,1730821382.767768383.pcd,2.5427634345613925,-2.6234968087475146,1.4059158014878812,4,7.12,-5.65,-1.41
29,1730821382.867713451.pcd,2.546723154934148,-2.604740058864788,1.4112290995561083,0,3.08,0.4,-1.29
29,1730821382.867713451.pcd,2.546723154934148,-2.604740058864788,1.4112290995561083,1,2.3,-2.19,-1.27
29,1730821382.867713451.pcd,2.546723154934148,-2.604740058864788,1.4112290995561083,2,10.21,-1.52,-1.3
29,1730821382.867713451.pcd,2.546723154934148,-2.604740058864788,1.4112290995561083,3,10.27,1.11,-1.32
29,1730821382.867713451.pcd,2.546723154934148,-2.604740058864788,1.4112290995561083,4,7.12,-5.63,-1.41
30,1730821382.967696428.pcd,2.5522836022794437,-2.581119096945035,1.4108434544535429,0,3.08,0.39,-1.29
30,1730821382.967696428.pcd,2.5522836022794437,-2.581119096945035,1.4108434544535429,1,2.32,-2.18,-1.27
30,1730821382.967696428.pcd,2.5522836022794437,-2.581119096945035,1.4108434544535429,2,10.2,-1.52,-1.3
30,1730821382.967696428.pcd,2.5522836022794437,-2.581119096945035,1.4108434544535429,3,10.27,1.09,-1.32
30,1730821382.967696428.pcd,2.5522836022794437,-2.581119096945035,1.4108434544535429,4,7.12,-5.62,-1.41
31,1730821383.067643404.pcd,2.5553674102296253,-2.564196398208532,1.407777777272621,0,3.12,0.35,-1.29
31,1730821383.067643404.pcd,2.5553674102296253,-2.564196398208532,1.407777777272621,1,2.41,-2.17,-1.27
31,1730821383.067643404.pcd,2.5553674102296253,-2.564196398208532,1.407777777272621,2,10.12,-1.51,-1.3
31,1730821383.067643404.pcd,2.5553674102296253,-2.564196398208532,1.407777777272621,3,10.23,1.06,-1.32
31,1730821383.067643404.pcd,2.5553674102296253,-2.564196398208532,1.407777777272621,4,7.09,-5.58,-1.41
32,1730821383.167683363.pcd,2.5603860904076563,-2.5436308470815723,1.3913364821274257,0,3.16,0.32,-1.29
32,1730821383.167683363.pcd,2.5603860904076563,-2.5436308470815723,1.3913364821274257,1,2.5,-2.15,-1.27
32,1730821383.167683363.pcd,2.5603860904076563,-2.5436308470815723,1.3913364821274257,2,10.05,-1.5,-1.3
32,1730821383.167683363.pcd,2.5603860904076563,-2.5436308470815723,1.3913364821274257,3,10.19,1.04,-1.32
32,1730821383.167683363.pcd,2.5603860904076563,-2.5436308470815723,1.3913364821274257,4,7.07,-5.54,-1.41
33,1730821383.267618418.pcd,2.567711924064388,-2.515601136535499,1.3659268019457669,0,3.2,0.28,-1.29
33,1730821383.267618418.pcd,2.567711924064388,-2.515601136535499,1.3659268019457669,1,2.59,-2.14,-1.27
33,1730821383.267618418.pcd,2.567711924064388,-2.515601136535499,1.3659268019457669,2,9.97,-1.5,-1.3
33,1730821383.267618418.pcd,2.567711924064388,-2.515601136535499,1.3659268019457669,3,10.15,1.02,-1.32
33,1730821383.267618418.pcd,2.567711924064388,-2.515601136535499,1.3659268019457669,4,7.05,-5.5,-1.41
34,1730821383.367718458.pcd,2.5732869998591275,-2.4965388727850284,1.3480353117939217,0,3.24,0.25,-1.29
34,1730821383.367718458.pcd,2.5732869998591275,-2.4965388727850284,1.3480353117939217,1,2.68,-2.13,-1.27
34,1730821383.367718458.pcd,2.5732869998591275,-2.4965388727850284,1.3480353117939217,2,9.89,-1.49,-1.3
34,1730821383.367718458.pcd,2.5732869998591275,-2.4965388727850284,1.3480353117939217,3,10.11,1.0,-1.32
34,1730821383.367718458.pcd,2.5732869998591275,-2.4965388727850284,1.3480353117939217,4,7.03,-5.45,-1.41
35,1730821383.467695475.pcd,2.5779166678704075,-2.4795297631440056,1.341528780538247,0,3.29,0.21,-1.29
35,1730821383.467695475.pcd,2.5779166678704075,-2.4795297631440056,1.341528780538247,1,2.77,-2.11,-1.27
35,1730821383.467695475.pcd,2.5779166678704075,-2.4795297631440056,1.341528780538247,2,9.82,-1.48,-1.3
35,1730821383.467695475.pcd,2.5779166678704075,-2.4795297631440056,1.341528780538247,3,10.07,0.98,-1.32
35,1730821383.467695475.pcd,2.5779166678704075,-2.4795297631440056,1.341528780538247,4,7.01,-5.41,-1.41
36,1730821383.567732334.pcd,2.582923021266429,-2.459037074596472,1.3383897026468146,0,3.33,0.17,-1.29
36,1730821383.567732334.pcd,2.582923021266429,-2.459037074596472,1.3383897026468146,1,2.86,-2.1,-1.27
36,1730821383.567732334.pcd,2.582923021266429,-2.459037074596472,1.3383897026468146,2,9.74,-1.47,-1.3
36,1730821383.567732334.pcd,2.582923021266429,-2.459037074596472,1.3383897026468146,3,10.02,0.95,-1.32
36,1730821383.567732334.pcd,2.582923021266429,-2.459037074596472,1.3383897026468146,4,6.98,-5.37,-1.41
37,1730821383.667745352.pcd,2.589540331362397,-2.435274998287118,1.3319208099002222,0,3.37,0.14,-1.29
37,1730821383.667745352.pcd,2.589540331362397,-2.435274998287118,1.3319208099002222,1,2.96,-2.09,-1.27
37,1730821383.667745352.pcd,2.589540331362397,-2.435274998287118,1.3319208099002222,2,9.66,-1.46,-1.3
37,1730821383.667745352.pcd,2.589540331362397,-2.435274998287118,1.3319208099002222,3,9.98,0.93,-1.32
37,1730821383.667745352.pcd,2.589540331362397,-2.435274998287118,1.3319208099002222,4,6.96,-5.33,-1.41
38,1730821383.767643452.pcd,2.5940283518257905,-2.413098891373769,1.3243575032904449,0,3.41,0.1,-1.29
38,1730821383.767643452.pcd,2.5940283518257905,-2.413098891373769,1.3243575032904449,1,3.05,-2.07,-1.27
38,1730821383.767643452.pcd,2.5940283518257905,-2.413098891373769,1.3243575032904449,2,9.59,-1.46,-1.3
38,1730821383.767643452.pcd,2.5940283518257905,-2.413098891373769,1.3243575032904449,3,9.94,0.91,-1.32
38,1730821383.767643452.pcd,2.5940283518257905,-2.413098891373769,1.3243575032904449,4,6.94,-5.29,-1.41
39,1730821383.867671490.pcd,2.598690336672415,-2.397677006294996,1.3179475757669596,0,3.45,0.07,-1.29
39,1730821383.867671490.pcd,2.598690336672415,-2.397677006294996,1.3179475757669596,1,3.14,-2.06,-1.27
39,1730821383.867671490.pcd,2.598690336672415,-2.397677006294996,1.3179475757669596,2,9.51,-1.45,-1.3
39,1730821383.867671490.pcd,2.598690336672415,-2.397677006294996,1.3179475757669596,3,9.9,0.89,-1.32
39,1730821383.867671490.pcd,2.598690336672415,-2.397677006294996,1.3179475757669596,4,6.92,-5.25,-1.41
40,1730821383.967734337.pcd,2.6033611484831924,-2.377123305813797,1.3075722330471249,0,3.49,0.03,-1.29
40,1730821383.967734337.pcd,2.6033611484831924,-2.377123305813797,1.3075722330471249,1,3.23,-2.05,-1.27
40,1730821383.967734337.pcd,2.6033611484831924,-2.377123305813797,1.3075722330471249,2,9.43,-1.44,-1.3
40,1730821383.967734337.pcd,2.6033611484831924,-2.377123305813797,1.3075722330471249,3,9.86,0.87,-1.32
40,1730821383.967734337.pcd,2.6033611484831924,-2.377123305813797,1.3075722330471249,4,6.9,-5.21,-1.41
41,1730821384.067647457.pcd,2.607830085854898,-2.353263030593839,1.2950563263799706,0,3.52,-0.01,-1.29
41,1730821384.067647457.pcd,2.607830085854898,-2.353263030593839,1.2950563263799706,1,3.35,-2.02,-1.27
41,1730821384.067647457.pcd,2.607830085854898,-2.353263030593839,1.2950563263799706,2,9.34,-1.43,-1.3
41,1730821384.067647457.pcd,2.607830085854898,-2.353263030593839,1.2950563263799706,3,9.81,0.84,-1.32
41,1730821384.067647457.pcd,2.607830085854898,-2.353263030593839,1.2950563263799706,4,6.87,-5.14,-1.41
42,1730821384.167606354.pcd,2.617539279019586,-2.322783997411333,1.2759597629710475,0,3.55,-0.06,-1.29
42,1730821384.167606354.pcd,2.617539279019586,-2.322783997411333,1.2759597629710475,1,3.47,-2.0,-1.27
42,1730821384.167606354.pcd,2.617539279019586,-2.322783997411333,1.2759597629710475,2,9.25,-1.42,-1.3
42,1730821384.167606354.pcd,2.617539279019586,-2.322783997411333,1.2759597629710475,3,9.76,0.81,-1.32
42,1730821384.167606354.pcd,2.617539279019586,-2.322783997411333,1.2759597629710475,4,6.84,-5.08,-1.41
43,1730821384.267651320.pcd,2.62375004471852,-2.304628323402788,1.262361183039881,0,3.57,-0.1,-1.29
43,1730821384.267651320.pcd,2.62375004471852,-2.304628323402788,1.262361183039881,1,3.59,-1.98,-1.27
43,1730821384.267651320.pcd,2.62375004471852,-2.304628323402788,1.262361183039881,2,9.16,-1.41,-1.3
43,1730821384.267651320.pcd,2.62375004471852,-2.304628323402788,1.262361183039881,3,9.7,0.78,-1.32
43,1730821384.267651320.pcd,2.62375004471852,-2.304628323402788,1.262361183039881,4,6.81,-5.02,-1.41
44,1730821384.367638350.pcd,2.6322825380097625,-2.2789714260590275,1.2412904698429374,0,3.6,-0.14,-1.29
44,1730821384.367638350.pcd,2.6322825380097625,-2.2789714260590275,1.2412904698429374,1,3.71,-1.96,-1.27
44,1730821384.367638350.pcd,2.6322825380097625,-2.2789714260590275,1.2412904698429374,2,9.07,-1.39,-1.3
44,1730821384.367638350.pcd,2.6322825380097625,-2.2789714260590275,1.2412904698429374,3,9.65,0.74,-1.32
44,1730821384.367638350.pcd,2.6322825380097625,-2.2789714260590275,1.2412904698429374,4,6.79,-4.96,-1.41
45,1730821384.467562199.pcd,2.6411209579484995,-2.253603582640662,1.2200012054048053,0,3.63,-0.19,-1.29
45,1730821384.467562199.pcd,2.6411209579484995,-2.253603582640662,1.2200012054048053,1,3.83,-1.94,-1.27
45,1730821384.467562199.pcd,2.6411209579484995,-2.253603582640662,1.2200012054048053,2,8.98,-1.38,-1.3
45,1730821384.467562199.pcd,2.6411209579484995,-2.253603582640662,1.2200012054048053,3,9.6,0.71,-1.32
45,1730821384.467562199.pcd,2.6411209579484995,-2.253603582640662,1.2200012054048053,4,6.76,-4.89,-1.41
46,1730821384.567572355.pcd,2.653392544651254,-2.2167524277703072,1.1895976712206386,0,3.66,-0.23,-1.29
46,1730821384.567572355.pcd,2.653392544651254,-2.2167524277703072,1.1895976712206386,1,3.95,-1.91,-1.27
46,1730821384.567572355.pcd,2.653392544651254,-2.2167524277703072,1.1895976712206386,2,8.89,-1.37,-1.3
46,1730821384.567572355.pcd,2.653392544651254,-2.2167524277703072,1.1895976712206386,3,9.55,0.68,-1.32
46,1730821384.567572355.pcd,2.653392544651254,-2.2167524277703072,1.1895976712206386,4,6.73,-4.83,-1.41
47,1730821384.667594433.pcd,2.6613505315758834,-2.1941749133871458,1.1712056539379818,0,3.68,-0.28,-1.29
47,1730821384.667594433.pcd,2.6613505315758834,-2.1941749133871458,1.1712056539379818,1,4.07,-1.89,-1.27
47,1730821384.667594433.pcd,2.6613505315758834,-2.1941749133871458,1.1712056539379818,2,8.8,-1.36,-1.3
47,1730821384.667594433.pcd,2.6613505315758834,-2.1941749133871458,1.1712056539379818,3,9.49,0.65,-1.32
47,1730821384.667594433.pcd,2.6613505315758834,-2.1941749133871458,1.1712056539379818,4,6.7,-4.77,-1.41
48,1730821384.767624378.pcd,2.6720209134621604,-2.1694180431783114,1.144993361281479,0,3.71,-0.32,-1.29
48,1730821384.767624378.pcd,2.6720209134621604,-2.1694180431783114,1.144993361281479,1,4.19,-1.87,-1.27
